l_name,l_team,l_pos,l_gp,l_points,l_owners,l_proj,l_actual,l_passyd,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_touchdown,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_owners18,l_actual18,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_2ptpg18,l_fumblepg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17
Dak Prescott,Dal,QB,1,35.40,83%,28,7,405,4,0,12,0,2,0,0,0,0,16,35.40,30.66,21.54,8.62,25.22,17.22,20.56,-,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,Bal,QB,1,33.56,93%,12,10,324,5,0,6,0,0,0,0,0,0,25,33.56,36.88,22.28,29.48,15.44,34.64,27.32,-,,,,,,,,,,,,,,,,,,,,,,,,
Deshaun Watson,Hou,QB,1,30.72,100%,5,17,268,3,1,40,1,2,0,0,0,0,16,30.72,11.86,26.84,11.60,44.74,28.40,16.52,31.76,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,Det,QB,1,29.60,26%,79,21,385,3,0,22,0,2,0,0,0,0,9,29.60,16.10,12.14,24.44,-,12.50,28.56,3.38,,,,,,,,,,,,,,,,,,,,,,,,
Carson Wentz,Phi,QB,1,28.02,98%,32,27,313,3,0,5,0,3,0,0,0,0,9,28.02,17.54,22.66,21.70,12.06,21.54,7.84,17.38,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes,KC,QB,1,27.32,100%,4,29,378,3,0,2,0,0,0,0,0,0,9,27.32,31.62,28.86,22.00,19.54,18.82,8.24,0,,,,,,,,,,,,,,,,,,,,,,,,
Case Keenum,Was,QB,1,27.20,3%,120,30,380,3,0,0,0,0,0,0,0,0,9,27.20,16.74,12.58,-0.52,0,15.64,3.08,3.20,,,,,,,,,,,,,,,,,,,,,,,,
Tom Brady,NE,QB,1,25.64,93%,33,39,341,3,0,0,0,0,0,0,0,0,9,25.64,23.66,20.14,3.70,23.92,20.96,11.96,18.36,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Mariota,Ten,QB,1,25.32,7%,74,43,248,3,0,24,0,1,0,0,0,0,9,25.32,14.36,17.56,24.28,8.62,-1.08,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Philip Rivers,LAC,QB,1,24.92,83%,51,45,333,3,1,6,0,1,0,0,0,0,9,24.92,11.92,19.62,20.40,4.14,14.80,21.16,10.04,,,,,,,,,,,,,,,,,,,,,,,,
