l_name,l_team,l_pos,l_proj,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_points9,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_2ptpg18,l_fumblepg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10,opp_11,opp_12,opp_13,opp_14,opp_15,opp_16,opp_17,good_opp,med_opp,bad_opp
Aaron Rodgers,GB,QB,25,12.92,14.36,13.30,28.48,9.42,19.32,42.76,28.10,12.94,20.18,20.53625,277.625,1.5625,0.125,16.8125,0.125,1.25,0.1875,0.1875,2.84765625,330.78515625,19.94285714,239.2857143,2.285714286,0.857142857,18,0,1.428571429,0,0.142857143,5.22448979722449,377.469387771755,1,2,1,2,1,3,3,2,1,2,0,1,3,2,1,2,3,4,6,6
Andy Dalton,Cin,QB,84,20.72,18.64,15.10,4.64,19.98,12.60,19.34,18.29,16.16,16.16,16.2309090909091,233.272727272727,1.90909090909091,1,9,0,0.363636363636364,0,0,3.64462809917356,87.6776859504132,13.73125,207.5,1.5625,0.75,6.1875,0,0.5625,0,0.25,2.44140625,45.5625,3,1,1,1,3,2,2,1,0,2,3,1,2,2,1,3,2,4,6,6
Baker Mayfield,Cle,QB,14,9.40,15.00,9.70,16.78,2.00,20.46,11.5566666666667,11.56,18.12,12.73,17.7214285714286,266.071428571429,1.92857142857143,1,9.35714285714286,0,0.571428571428571,0.142857142857143,0.214285714285714,3.71938775510205,98.5765306122449,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,2,2,1,2,1,3,0,1,1,1,1,3,1,3,3,2,3,5,4,7
Ben Roethlisberger,Pit,QB,58,9.74,3.00,0,0,0,0,2.12333333333333,0,0,1.65148148148148,21.805625,320.5625,2.125,1,6.125,0.1875,0.8125,0.25,0.125,5.34765625,50.765625,17.78266667,283.4,1.866666667,0.933333333,3.133333333,0,0.4,0.133333333,0.066666667,3.48444444568889,12.4844444420889,1,3,1,3,2,1,0,3,2,1,2,3,2,3,1,3,2,6,5,5
Cam Newton,Car,QB,10,5.36,11.32,0,0,0,0,2.78,0,0,2.16222222222222,22.1857142857143,242.5,1.71428571428571,0.928571428571429,34.8571428571429,0.285714285714286,2.57142857142857,0.142857142857143,0,3.99999999999998,1422.36734693878,20.8425,206.375,1.375,1,47.125,0.375,2.875,0.0625,0.0625,3.0625,2537.640625,1,3,3,3,2,3,0,1,2,1,3,2,2,3,3,2,2,7,6,3
Carson Wentz,Phi,QB,32,28.02,17.54,22.66,21.70,12.06,21.54,7.84,17.38,16.06,18.31,18.5027272727273,279.454545454545,1.90909090909091,0.636363636363636,8.45454545454545,0,0.818181818181818,0.0909090909090909,0.545454545454545,3.64462809917356,85.9834710743801,23.67230769,253.5384615,2.538461538,0.538461538,23,0,2,0.307692308,0.230769231,6.44378697990533,625,2,3,3,1,2,2,1,1,1,0,1,3,3,3,2,1,3,6,4,6
Case Keenum,Was,QB,120,27.20,16.74,12.58,0.52,0,15.64,3.08,3.20,0,8.77333333333333,18.00640449,247.3537055,1.644648952,0.6998242829,13.8711702,0.1255305706,1.122972613,0.09300015461,0.20968694,3.487111581,378.5984517,16.57962696,232.9788001,1.571763196,0.7475585426,13.19792054,0.1031693945,0.9290396608,0.06823816071,0.1866030849,3.083280067,391.1370303,2,1,1,3,1,3,1,2,1,0,2,3,2,1,2,3,1,4,5,7
Dak Prescott,Dal,QB,28,35.40,30.66,21.54,8.62,25.22,17.22,20.56,22.7457142857143,22.48,22.72,18.68125,242.8125,1.375,0.5,19.0625,0.375,1.5625,0.125,0.375,3.063,441,17.35375,207.75,1.375,0.8125,22.3125,0.375,1.8125,0,0.1875,3.0625,600.25,3,2,3,2,1,2,2,0,3,2,3,1,1,1,1,2,2,4,7,5
Derek Carr,Oak,QB,80,14.56,10.72,15.68,13.46,7.96,12.476,15.72,23.40,19.56,14.84,13.75375,253.0625,1.1875,0.625,2.9375,0.0625,0.3125,0.0625,0.4375,1.5625,10.9727,14.096,233.0666667,1.466666667,0.866666667,4.4,0,0.333333333,0.133333333,0.2,2.15111111208889,22.4044444412889,1,2,2,2,1,0,1,3,3,1,2,2,2,2,2,1,1,2,8,6
Deshaun Watson,Hou,QB,5,30.72,11.86,26.84,11.60,44.74,28.40,16.52,31.76,21.74,24.91,22.16875,260.3125,1.625,0.5625,34.4375,0.3125,2.0625,0,0.1875,3.75390625,1355.1602,25.55142857,242.7142857,2.714285714,1.142857143,38.42857143,0.285714286,2,0.285714286,0.142857143,9,1657.65306136408,2,2,1,2,3,2,2,3,2,0,2,2,1,1,2,3,2,3,10,3
