l_name,l_team,l_pos,l_proj,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_points9,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_touchdown18,l_ppr18,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10,opp_11,opp_12,opp_13,opp_14,opp_15,opp_16,opp_17,good_opp,med_opp,bad_opp
Todd Gurley II,LAR,RB,35,15.97,18.57,5.30,23.20,18.50,0,17.97,12.40,13.98,13.9877777777778,30.1978571428571,0,0,0,103.571428571429,1.14285714285714,4.71428571428571,3.42857142857143,31.4285714285714,0,1.57142857142857,1.30612244897959,11.75510204081630,3,1,3,1,1,1,2,3,0,2,2,1,2,1,2,1,2,3,6,7
Christian McCaffrey,Car,RB,3,46.20,10.77,29.63,38.03,53.67,22.83,33.5216666666667,29.23,42.93,34.0901851851852,28.0375,0,0,0,103,1.16666666666667,3.66666666666667,5.83333333333333,50.8333333333333,0.333333333333333,3,2.25000000000001,34.02777777777770,2,1,2,2,1,1,0,1,2,3,2,1,3,2,1,1,1,2,6,8
Alvin Kamara,NO,RB,1,28.50,8.50,42.03,17.23,21.52,13.43,0,0,16.40,16.4011111111111,27.958,0,0,0,0,0,0,8.85714285714286,109,0.428571428571429,5.28571428571429,0.183673469387755,78.44897959183680,2,2,1,2,1,1,2,2,0,2,1,3,2,1,1,2,3,2,8,6
Saquon Barkley,NYG,RB,2,23.27,25.57,7.80,0,0,0,18.73,34.67,16.27,14.0344444444444,26.735625,0,0,0,35.4285714285714,0.428571428571429,2.42857142857143,7,69.7142857142857,0.571428571428571,3.14285714285714,1,49,2,2,1,3,1,1,2,3,2,3,0,2,3,1,2,3,1,5,6,5
Ezekiel Elliott,Dal,RB,31,13.97,23.70,24.43,16.50,20.13,31.70,30.50,22.99,21.9,22.8688888888889,26.68,0,0,0,0,0,0,7.16666666666667,110.333333333333,1,6.33333333333333,1,51.36111111111120,2,3,3,1,3,3,1,0,2,1,3,1,2,2,2,1,3,6,5,5
Davante Adams,GB,WR,16,9.40,21.07,10.73,29.00,0,0,0,0,12.73,9.21444444444444,24.8933333333333,0,0,0,7,0,0.428571428571429,2.28571428571429,16,0,0.571428571428571,0,5.22448979591839,1,3,1,2,1,3,3,1,2,2,0,1,3,2,1,3,3,6,4,6
Tyreek Hill,KC,WR,6,4.57,0,0,0,0,29.33,16.93,16.57,29.83,10.8033333333333,24.625,0,0,0,0,0,0,2,18.5714285714286,0.142857142857143,1.14285714285714,0.0204081632653062,4,2,3,2,3,2,3,1,1,3,1,2,0,3,1,1,1,2,5,5,6
James Conner,Pit,RB,29,11.03,13.10,11.23,33.73,11.50,36.30,19.4816666666667,29.83,0,18.4668518518519,24.4176923076923,0,0,0,86,0.857142857142857,5,3.42857142857143,25.1428571428571,0,1.14285714285714,0.73469387755102,11.75510204081630,1,1,1,3,1,2,0,3,1,2,3,3,3,2,2,3,1,6,4,6
DeAndre Hopkins,Hou,WR,8,37.40,10.67,13.47,6.73,17.87,21.67,31.07,26.37,22.80,20.8944444444444,24.00625,0,0,0,0,0,0,1.4,28.6,0.4,1,0.16,2.0,2,2,2,2,3,1,2,3,2,0,2,2,1,1,1,3,1,3,8,5
Julio Jones,Atl,WR,15,20.07,32.07,31.53,10.57,7.80,21.20,16.20,29.13,21.07,21.0711111111111,22.9375,0,0,0,17.1666666666667,0.166666666666667,1,1.33333333333333,10.8333333333333,0,0.666666666666667,0.0277777777777779,1.77777777777777,3,2,2,1,3,3,2,2,0,2,2,3,2,2,1,2,3,5,9,2
Michael Thomas,NO,WR,7,24.20,19.93,20.60,18.33,48.13,17.93,24.73,33.57,25.9275,25.9275,22.604375,0,0,0,11.1428571428571,0,0.428571428571429,0.428571428571429,2.71428571428571,0,0.142857142857143,0,0.183673469387755,3,2,2,1,3,2,1,3,0,3,3,2,3,1,2,1,2,6,6,4
