l_name,l_team,l_pos,l_proj,l_actual,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_ppr18
Patrick Mahomes,KC,QB,4,29,27.32,31.62,28.86,22.0,19.54,18.82,8.24,0.0,19.55,26.9425,318.5625,3.125,0.75,17.0,0.125,1.125,10.563,333.0625,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,0.0,0.0,0.0,0.0,0.0
Matt Ryan,Atl,QB,54,65,19.56,19.1,22.46,16.68,30.9,30.94,2.56,0.0,17.775,22.924375,307.75,2.1875,0.4375,7.8125,0.1875,0.9375,5.6406,79.8789,14.94375,255.9375,1.25,0.75,8.9375,0.0,0.6875,0.0,0.1875,1.5625,92.640625,0.0,0.0,0.0,0.0,0.0
Cam Newton,Car,QB,10,238,5.36,11.32,0.0,0.0,0.0,0.0,2.78,0.0,2.4325,22.1857142857143,242.5,1.71428571428571,0.928571428571429,34.8571428571429,0.285714285714286,2.57142857142857,3.99999999999998,1422.36734693878,20.8425,206.375,1.375,1.0,47.125,0.375,2.875,0.0625,0.0625,3.0625,2537.640625,0.0,0.0,0.0,0.0,0.0
Deshaun Watson,Hou,QB,5,17,30.72,11.86,26.84,11.6,44.74,28.4,16.52,31.76,25.305,22.16875,260.3125,1.625,0.5625,34.4375,0.3125,2.0625,3.75390625,1355.1602,25.55142857,242.7142857,2.714285714,1.142857143,38.42857143,0.285714286,2.0,0.285714286,0.142857143,9.0,1657.65306136408,0.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,Pit,QB,58,170,9.74,3.0,0.0,0.0,0.0,0.0,2.12333333333333,0.0,1.85791666666667,21.805625,320.5625,2.125,1.0,6.125,0.1875,0.8125,5.34765625,50.765625,17.78266667,283.4,1.866666667,0.933333333,3.133333333,0.0,0.4,0.133333333,0.066666667,3.48444444568889,12.4844444420889,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,Mia,QB,103,153,11.2,-0.84,1.16,0.0,2.88,10.78,20.58,12.3,7.2575,21.355,295.75,2.125,1.5,19.0,0.25,1.125,5.640625,415.140625,13.15333333,183.8333333,1.166666667,0.5,13.0,0.0,0.833333333,0.0,0.0,1.36111111188889,191.361111101889,0.0,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,25,139,12.92,14.36,13.3,28.48,9.42,19.32,42.76,28.1,21.0825,20.53625,277.625,1.5625,0.125,16.8125,0.125,1.25,2.84765625,330.78515625,19.94285714,239.2857143,2.285714286,0.857142857,18.0,0.0,1.428571429,0.0,0.142857143,5.22448979722449,377.469387771755,0.0,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,36,58,20.8,-0.48,0.0,0.0,0.0,0.0,0.0,24.92,5.655,20.53,266.133333333333,2.13333333333333,0.333333333333333,1.46666666666667,0.266666666666667,0.733333333333333,5.75999999999998,6.08444444444446,16.5975,270.875,1.4375,0.5,0.75,0.125,0.4375,0.0,0.0,2.44140625,1.72265625,0.0,0.0,0.0,0.0,0.0
Mitchell Trubisky,Chi,QB,30,178,9.22,5.6,19.44,0.36,0.0,6.924,20.04,8.12,8.713,20.43,230.214285714286,1.71428571428571,0.857142857142857,30.0714285714286,0.214285714285714,2.07142857142857,3.71938775510202,1046.98469387755,11.87666667,182.75,0.583333333,0.583333333,20.66666667,0.166666667,1.0,0.083333333,0.25,0.5625,476.694444604556,0.0,0.0,0.0,0.0,0.0
Russell Wilson,Sea,QB,17,91,16.6,25.2,41.34,14.3,31.92,28.9,16.34,15.68,23.785,20.174375,215.5,2.1875,0.4375,23.5,0.0,1.4375,4.78515625,621.87890625,23.5575,248.9375,2.125,0.6875,36.625,0.1875,2.1875,0.125,0.1875,5.34765625,1521.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,37,175,9.44,18.12,14.12,20.68,17.9,1.12,25.02,22.88,16.16,19.7075,293.0,2.0,0.75,6.75,0.125,0.5625,4.515625,55.31640625,17.084,253.6,1.866666667,0.466666667,3.4,0.066666667,0.2,0.0,0.2,3.73777778035556,13.4444444468889,0.0,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,26,196,8.06,14.22,25.5,29.3,17.46,12.1,17.7733333333333,22.34,18.3441666666667,19.3436363636364,272.0,1.72727272727273,1.27272727272727,25.5454545454545,0.0909090909090909,1.72727272727273,3.30578512396695,748.76859504132,15.89692308,269.5384615,1.461538462,0.846153846,10.38461538,0.076923077,0.538461538,0.076923077,0.538461538,2.36686390698225,120.99999989,0.0,0.0,0.0,0.0,0.0
Dak Prescott,Dal,QB,28,7,35.4,30.66,21.54,8.62,25.22,17.22,20.56,22.7457142857143,22.7457142857143,18.68125,242.8125,1.375,0.5,19.0625,0.375,1.5625,3.063,441.0,17.35375,207.75,1.375,0.8125,22.3125,0.375,1.8125,0.0,0.1875,3.0625,600.25,0.0,0.0,0.0,0.0,0.0
Carson Wentz,Phi,QB,32,27,28.02,17.54,22.66,21.7,12.06,21.54,7.84,17.38,18.5925,18.5027272727273,279.454545454545,1.90909090909091,0.636363636363636,8.45454545454545,0.0,0.818181818181818,3.64462809917356,85.9834710743801,23.67230769,253.5384615,2.538461538,0.538461538,23.0,0.0,2.0,0.307692308,0.230769231,6.44378697990533,625.0,0.0,0.0,0.0,0.0,0.0
Kirk Cousins,Min,QB,47,103,15.32,9.9,13.56,7.32,20.54,27.32,29.22,12.6,16.9725,18.321875,268.625,1.875,0.625,7.6875,0.0625,0.75,3.75390625,72.25,17.91375,255.8125,1.6875,0.8125,11.1875,0.25,1.0625,0.0,0.3125,3.75390625,156.25,0.0,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,33,39,25.64,23.66,20.14,3.7,23.92,20.96,11.96,18.36,18.5425,17.94375,272.1875,1.8125,0.6875,2.1875,0.125,0.625,3.75390625,8.62890625,18.93,286.0625,2.0,0.5,1.75,0.0,0.4375,0.125,0.1875,4.0,4.78515625,0.0,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,51,45,24.92,11.92,19.62,20.4,4.14,14.8,21.16,10.04,15.875,17.87625,269.25,2.0,0.75,0.4375,0.0,0.0625,4.0,0.25,16.9625,282.1875,1.75,0.625,-0.125,0.0,0.0625,0.0,0.0625,3.0625,0.00390625,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,Cle,QB,14,177,9.4,15.0,9.7,16.78,-2.0,20.46,11.5566666666667,11.56,11.5570833333333,17.7214285714286,266.071428571429,1.92857142857143,1.0,9.35714285714286,0.0,0.571428571428571,3.71938775510205,98.5765306122449,16.55196005,232.5347053,1.542350088,0.833928571,13.58333673,0.10355447,0.932310745,0.078067766,0.178512074,2.968417476,384.3564906,0.0,0.0,0.0,0.0,0.0
Nick Foles,Jax,QB,76,210,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,16.578,282.6,1.4,0.8,3.4,0.0,1.2,1.96,21.16,4.968571429,76.71428571,0.714285714,0.285714286,0.428571429,0.0,0.142857143,0.0,0.285714286,0.51020408122449,0.326530612897959,0.0,0.0,0.0,0.0,0.0
Joe Flacco,Den,QB,107,113,14.82,15.68,7.02,22.02,8.98,4.98,6.52,8.86,11.11,16.3444444444444,273.888888888889,1.33333333333333,0.666666666666667,5.0,0.0,1.11111111111111,1.77777777777777,37.3456790123457,11.6275,196.3125,1.125,0.8125,3.375,0.0625,0.1875,0.0625,0.0,1.41015625,13.140625,0.0,0.0,0.0,0.0,0.0
Andy Dalton,Cin,QB,84,59,20.72,18.64,15.1,4.64,19.98,12.6,19.34,18.29,16.16375,16.2309090909091,233.272727272727,1.90909090909091,1.0,9.0,0.0,0.363636363636364,3.64462809917356,87.6776859504132,13.73125,207.5,1.5625,0.75,6.1875,0.0,0.5625,0.0,0.25,2.44140625,45.5625,0.0,0.0,0.0,0.0,0.0
Eli Manning,NYG,QB,124,112,14.84,11.2,0.0,0.0,0.0,0.0,0.0,0.0,3.255,15.185,268.6875,1.3125,0.6875,1.25,0.0625,0.3125,1.8906,2.640625,12.488,231.2,1.266666667,0.866666667,1.733333333,0.066666667,0.133333333,0.0,0.333333333,1.77777777955556,3.73777777648889,0.0,0.0,0.0,0.0,0.0
