Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg,l_touchdown,l_runnerQB
Patrick Mahomes,KC,QB,16,431.08,99,-,2,5097,50,12,272,2,18,0,0,0,0,1,2,26.9425,318.5625,3.125,0.75,17,0.125,1.125,0,0,0,0,10.5625,333.0625
Matt Ryan,Atl,QB,16,366.79,95,-,12,4924,35,7,125,3,15,1,5,1,1,2,5,22.924375,307.75,2.1875,0.4375,7.8125,0.1875,0.9375,0.0625,0.3125,0.0625,0.0625,5.9414,79.8789
Deshaun Watson,Hou,QB,16,354.70,100,-,15,4165,26,9,551,5,33,0,0,0,0,0,3,22.16875,260.3125,1.625,0.5625,34.4375,0.3125,2.0625,0,0,0,0,3.75390625,1355.1602
Ben Roethlisberger,Pit,QB,16,348.89,10,-,16,5129,34,16,98,3,13,1,-1,0,0,4,2,21.805625,320.5625,2.125,1,6.125,0.1875,0.8125,0.0625,-0.0625,0,0,5.34765625,50.765625
Andrew Luck,Ind,QB,16,340.79,3,-,17,4593,39,15,148,0,12,1,4,0,1,2,1,21.299375,287.0625,2.4375,0.9375,9.25,0,0.75,0.0625,0.25,0,0.0625,5.94140625,100
Aaron Rodgers,GB,QB,16,328.58,100,-,20,4442,25,2,269,2,20,0,0,0,0,3,3,20.53625,277.625,1.5625,0.125,16.8125,0.125,1.25,0,0,0,0,2.84765625,330.78515625
Russell Wilson,Sea,QB,16,322.79,100,-,24,3448,35,7,376,0,23,1,-11,0,0,1,2,20.174375,215.5,2.1875,0.4375,23.5,0,1.4375,0.0625,-0.6875,0,0,4.78515625,621.87890625
Jared Goff,LAR,QB,16,315.32,95,-,28,4688,32,12,108,2,9,0,0,0,0,3,5,19.7075,293,2,0.75,6.75,0.125,0.5625,0,0,0,0,4.515625,55.31640625
Cam Newton,Car,QB,14,310.60,42,-,30,3395,24,13,488,4,36,0,0,0,0,2,0,22.1857142857143,242.5,1.71428571428571,0.928571428571429,34.8571428571429,0.285714285714286,2.57142857142857,0,0,0,0,3.99999999999998,1422.36734693878
Drew Brees,NO,QB,15,307.95,85,-,32,3992,32,5,22,4,11,1,1,0,0,1,1,20.53,266.133333333333,2.13333333333333,0.333333333333333,1.46666666666667,0.266666666666667,0.733333333333333,0.0666666666666667,0.0666666666666667,0,0,5.75999999999998,6.08444444444446
Dak Prescott,Dal,QB,16,298.90,96,-,36,3885,22,8,305,6,25,0,0,0,0,2,6,18.68125,242.8125,1.375,0.5,19.0625,0.375,1.5625,0,0,0,0,3.0625,441
Kirk Cousins,Min,QB,16,293.15,88,-,39,4298,30,10,123,1,12,1,-1,0,0,3,7,18.321875,268.625,1.875,0.625,7.6875,0.0625,0.75,0.0625,-0.0625,0,0,3.75390625,72.25
Tom Brady,NE,QB,16,287.10,98,-,40,4355,29,11,35,2,10,1,6,0,0,0,2,17.94375,272.1875,1.8125,0.6875,2.1875,0.125,0.625,0.0625,0.375,0,0,3.75390625,8.62890625
