Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_fumble,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg
Lamar Jackson,Bal,QB,6,172.28,0.99,3,4,1507,11,5,460,2,24,0,0,0,0,0,251.166666666667,1.83333333333333,0.833333333333333,76.6666666666667,0.333333333333333,4,0,0,0,0
Russell Wilson,Sea,QB,6,158.26,0.99,11,5,1704,14,0,151,3,9,0,0,0,0,1,284,2.33333333333333,0,25.1666666666667,0.5,1.5,0,0,0,0
Deshaun Watson,Hou,QB,6,154.16,1,5,7,1644,12,3,164,5,12,0,0,0,0,2,274,2,0.5,27.3333333333333,0.833333333333333,2,0,0,0,0
Patrick Mahomes,KC,QB,6,148.16,1,2,10,2104,14,1,80,0,6,0,0,0,0,2,350.666666666667,2.33333333333333,0.166666666666667,13.3333333333333,0,1,0,0,0,0
Matt Ryan,Atl,QB,6,139.64,0.99,22,12,2011,15,7,62,1,3,0,0,0,0,1,335.166666666667,2.5,1.16666666666667,10.3333333333333,0.166666666666667,0.5,0,0,0,0
Dak Prescott,Dal,QB,6,138.62,0.97,16,13,1883,11,6,133,2,10,0,0,0,0,0,313.833333333333,1.83333333333333,1,22.1666666666667,0.333333333333333,1.66666666666667,0,0,0,0
Kyler Murray,Ari,QB,6,136.36,0.94,25,15,1664,7,4,238,2,14,0,0,0,0,0,277.333333333333,1.16666666666667,0.666666666666667,39.6666666666667,0.333333333333333,2.33333333333333,0,0,0,0
Carson Wentz,Phi,QB,6,123.52,0.97,23,27,1458,12,3,82,1,9,0,0,0,0,0,243,2,0.5,13.6666666666667,0.166666666666667,1.5,0,0,0,0
Tom Brady,NE,QB,6,118.02,0.98,32,32,1743,10,3,3,3,4,0,0,0,0,1,290.5,1.66666666666667,0.5,0.5,0.5,0.666666666666667,0,0,0,0
Jameis Winston,TB,QB,6,106.64,0.83,37,44,1771,12,10,38,0,2,0,0,0,0,1,295.166666666667,2,1.66666666666667,6.33333333333333,0,0.333333333333333,0,0,0,0
Gardner Minshew II,Jax,QB,6,98.18,0.58,50,52,1442,9,2,125,0,4,0,0,0,0,4,240.333333333333,1.5,0.333333333333333,20.8333333333333,0,0.666666666666667,0,0,0,0
Aaron Rodgers,GB,QB,6,97.80,0.99,36,54,1590,8,2,62,0,4,0,0,0,0,2,265,1.33333333333333,0.333333333333333,10.3333333333333,0,0.666666666666667,0,0,0,0
Philip Rivers,LAC,QB,6,95.80,0.86,47,59,1785,9,6,24,0,2,0,0,0,0,2,297.5,1.5,1,4,0,0.333333333333333,0,0,0,0
Matthew Stafford,Det,QB,5,94.78,0.58,43,63,1387,9,2,63,0,5,0,0,0,0,2,277.4,1.8,0.4,12.6,0,1,0,0,0,0
Jacoby Brissett,Ind,QB,5,94.08,0.42,46,65,1062,10,3,66,1,9,0,0,0,0,1,212.4,2,0.6,13.2,0.2,1.8,0,0,0,0
Kirk Cousins,Min,QB,6,93.96,0.47,62,66,1374,9,3,40,1,5,0,0,0,0,2,229,1.5,0.5,6.66666666666667,0.166666666666667,0.833333333333333,0,0,0,0
Andy Dalton,Cin,QB,6,91.68,0.26,57,69,1647,7,5,18,2,4,0,0,0,0,3,274.5,1.16666666666667,0.833333333333333,3,0.333333333333333,0.666666666666667,0,0,0,0
Marcus Mariota,Ten,QB,6,89.06,0.13,59,72,1179,7,2,129,0,5,0,0,0,0,0,196.5,1.16666666666667,0.333333333333333,21.5,0,0.833333333333333,0,0,0,0
Josh Allen,Buf,QB,5,87.68,0.53,41,73,1122,5,7,158,3,11,0,0,0,0,2,224.4,1,1.4,31.6,0.6,2.2,0,0,0,0
Jared Goff,LAR,QB,6,81.38,0.92,39,91,1727,7,7,13,1,1,0,0,0,0,4,287.833333333333,1.16666666666667,1.16666666666667,2.16666666666667,0.166666666666667,0.166666666666667,0,0,0,0
Joe Flacco,Den,QB,6,73.50,0.08,80,110,1435,6,5,11,0,3,0,0,0,0,2,239.166666666667,1,0.833333333333333,1.83333333333333,0,0.5,0,0,0,0
Teddy Bridgewater,NO,QB,5,72.76,0.2,245,112,1089,7,2,32,0,2,0,0,0,0,0,217.8,1.4,0.4,6.4,0,0.4,0,0,0,0
Jimmy Garoppolo,SF,QB,5,72.52,0.63,58,113,1163,7,5,10,1,5,0,0,0,0,2,232.6,1.4,1,2,0.2,1,0,0,0,0
Case Keenum,Was,QB,5,71.64,0.07,86,116,1136,9,4,12,0,1,0,0,0,0,2,227.2,1.8,0.8,2.4,0,0.2,0,0,0,0
Baker Mayfield,Cle,QB,6,69.34,0.75,74,123,1496,5,11,35,1,4,0,0,0,0,1,249.333333333333,0.833333333333333,1.83333333333333,5.83333333333333,0.166666666666667,0.666666666666667,0,0,0,0
Daniel Jones,NYG,QB,5,65.44,0.29,106,132,921,5,6,86,2,8,0,0,0,0,3,184.2,1,1.2,17.2,0.4,1.6,0,0,0,0
Derek Carr,Oak,QB,5,62.38,0.2,85,143,1117,6,3,27,0,1,0,0,0,0,2,223.4,1.2,0.6,5.4,0,0.2,0,0,0,0
Kyle Allen,Car,QB,4,56.64,0.1,334,163,901,7,0,6,0,0,0,0,0,0,4,225.25,1.75,0,1.5,0,0,0,0,0,0
Mason Rudolph,Pit,QB,4,53.74,0.06,118,177,646,7,2,19,0,2,0,0,0,0,0,161.5,1.75,0.5,4.75,0,0.5,0,0,0,0
Mitchell Trubisky,Chi,QB,4,34.62,0.25,75,254,588,3,2,21,0,1,0,0,0,0,0,147,0.75,0.5,5.25,0,0.25,0,0,0,0
Sam Darnold,NYJ,QB,2,33.62,0.17,108,262,513,3,1,1,0,1,0,0,0,0,0,256.5,1.5,0.5,0.5,0,0.5,0,0,0,0
Chase Daniel,Chi,QB,2,27.64,0.02,404,280,426,3,2,6,0,2,0,0,0,0,0,213,1.5,1,3,0,1,0,0,0,0
Taysom Hill,NO,QB,6,26.72,0.01,293,286,18,0,0,60,0,3,4,30,1,3,0,3,0,0,10,0,0.5,0.666666666666667,5,0.166666666666667,0.5
Eli Manning,NYG,QB,2,26.04,0.01,413,291,556,2,2,8,0,1,0,0,0,0,1,278,1,1,4,0,0.5,0,0,0,0
Ryan Fitzpatrick,Mia,QB,4,22.30,0.01,466,317,435,2,4,19,0,3,0,0,0,0,0,108.75,0.5,1,4.75,0,0.75,0,0,0,0
Drew Brees,NO,QB,2,20.32,0.79,151,326,408,2,2,0,0,0,0,0,0,0,0,204,1,1,0,0,0,0,0,0,0
Josh Rosen,Mia,QB,5,17.98,0.03,141,342,567,1,5,13,0,0,0,0,0,0,0,113.4,0.2,1,2.6,0,0,0,0,0,0
Cam Newton,Car,QB,2,16.68,0.46,96,355,572,0,1,-2,0,0,0,0,0,0,2,286,0,0.5,-1,0,0,0,0,0,0
Devlin Hodges,Pit,QB,2,13.80,0.02,430,373,200,1,1,28,0,1,0,0,0,0,0,100,0.5,0.5,14,0,0.5,0,0,0,0
Ben Roethlisberger,Pit,QB,2,12.74,0.11,458,383,351,0,1,7,0,0,0,0,0,0,0,175.5,0,0.5,3.5,0,0,0,0,0,0
