Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg,l_touchdown,l_ppr
Christian McCaffrey,Car,RB,16,448.60,100%,1,50,1,0,1098,7,53,107,867,6,41,0,1,28.0375,0,0,0,103,1.16666666666667,3.66666666666667,5.83333333333333,50.8333333333333,0.333333333333333,3,2.25000000000001,34.02777777777770
Saquon Barkley,NYG,RB,16,427.77,100%,3,0,0,0,1307,11,50,91,721,4,30,1,0,26.735625,0,0,0,35.4285714285714,0.428571428571429,2.42857142857143,7,69.7142857142857,0.571428571428571,3.14285714285714,1,49
Todd Gurley II,LAR,RB,14,422.77,100%,4,0,0,0,1251,17,70,59,580,4,26,3,1,30.1978571428571,0,0,0,103.571428571429,1.14285714285714,4.71428571428571,3.42857142857143,31.4285714285714,0,1.57142857142857,1.30612244897959,11.75510204081630
Alvin Kamara,NO,RB,15,419.37,100%,5,0,0,0,883,14,57,81,709,4,31,3,0,27.958,0,0,0,0,0,0,8.85714285714286,109,0.428571428571429,5.28571428571429,0.183673469387755,78.44897959183680
Ezekiel Elliott,Dal,RB,15,400.20,100%,6,0,0,0,1434,6,74,77,567,3,22,0,1,26.68,0,0,0,0,0,0,7.16666666666667,110.333333333333,1,6.33333333333333,1,51.36111111111120
James Conner,Pit,RB,13,317.43,99%,25,0,0,0,973,12,56,55,497,1,20,2,2,24.4176923076923,0,0,0,86,0.857142857142857,5,3.42857142857143,25.1428571428571,0,1.14285714285714,0.73469387755102,11.75510204081630
James White,NE,RB,16,315.57,90%,26,0,0,0,425,5,22,87,751,7,38,0,0,19.723125,0,0,0,102.142857142857,0.142857142857143,4.57142857142857,4,29,0,1.85714285714286,0.0204081632653062,16
Melvin Gordon III,LAC,RB,12,315.17,96%,27,0,0,0,885,10,47,50,490,4,21,2,0,26.2641666666667,0,0,0,57,1.14285714285714,3.57142857142857,3.85714285714286,28,0.142857142857143,1.28571428571429,1.65306122448979,14.87755102040820
Tarik Cohen,Chi,RB,16,306.07,60%,33,1,1,0,444,3,20,71,725,5,29,0,3,19.129375,0,0,0,-1.14285714285714,0,0,5.71428571428571,73.5714285714286,0.571428571428571,3.57142857142857,0.326530612244897,32.65306122448970
David Johnson,Ari,RB,16,296.73,100%,37,0,0,0,940,7,51,50,446,3,22,1,2,18.545625,0,0,0,81.2857142857143,0.285714285714286,5.14285714285714,3.14285714285714,21.2857142857143,0.285714285714286,0.857142857142857,0.326530612244899,9.87755102040815
Joe Mixon,Cin,RB,14,293.53,94%,38,0,0,0,1168,8,60,43,296,1,14,0,0,20.9664285714286,0,0,0,0.571428571428571,0,0,7.28571428571429,81.7142857142857,0.571428571428571,3.57142857142857,0.326530612244897,53.08163265306130
Kareem Hunt,Cle,RB,11,280.60,58%,44,0,0,0,824,7,46,26,378,7,17,0,0,25.5090909090909,0,0,0,42.8571428571429,0.285714285714286,2.71428571428571,4.28571428571429,45,0.428571428571429,2,0.510204081632654,18.36734693877550
Phillip Lindsay,Den,RB,15,279.37,95%,45,0,0,0,1037,9,50,35,241,1,12,0,0,18.6246666666667,0,0,0,0,0,0,5.42857142857143,88.7142857142857,0.714285714285714,3.57142857142857,0.510204081632653,29.46938775510210
