Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg
Christian McCaffrey,Car,RB,6,201.13,1,1,2,0,0,0,618,7,22,35,305,2,18,0,0,33.5216666666667,0,0,0,103,1.16666666666667,3.66666666666667,5.83333333333333,50.8333333333333,0.333333333333333,3
Austin Ekeler,LAC,RB,7,185.33,0.97,11,4,0,0,0,248,3,17,49,488,4,22,0,2,26.4757142857143,0,0,0,35.4285714285714,0.428571428571429,2.42857142857143,7,69.7142857142857,0.571428571428571,3.14285714285714
Dalvin Cook,Min,RB,7,185.17,1,3,5,0,0,0,725,8,33,24,220,0,11,0,1,26.4528571428571,0,0,0,103.571428571429,1.14285714285714,4.71428571428571,3.42857142857143,31.4285714285714,0,1.57142857142857
Michael Thomas,NO,WR,7,173.87,1,4,7,0,0,0,0,0,0,62,763,3,37,0,0,24.8385714285714,0,0,0,0,0,0,8.85714285714286,109,0.428571428571429,5.28571428571429
Chris Godwin,TB,WR,6,173.13,0.99,5,8,0,0,0,0,0,0,43,662,6,38,0,0,28.855,0,0,0,0,0,0,7.16666666666667,110.333333333333,1,6.33333333333333
Ezekiel Elliott,Dal,RB,7,160.93,1,16,10,0,0,0,602,6,35,24,176,0,8,0,1,22.99,0,0,0,86,0.857142857142857,5,3.42857142857143,25.1428571428571,0,1.14285714285714
Leonard Fournette,Jax,RB,7,160.03,0.99,17,11,0,0,0,715,1,32,28,203,0,13,0,1,22.8614285714286,0,0,0,102.142857142857,0.142857142857143,4.57142857142857,4,29,0,1.85714285714286
Aaron Jones,GB,RB,7,151.97,1,19,15,0,0,0,399,8,25,27,196,1,9,0,1,21.71,0,0,0,57,1.14285714285714,3.57142857142857,3.85714285714286,28,0.142857142857143,1.28571428571429
Tyler Lockett,Sea,WR,7,151.63,0.98,8,16,0,0,0,-8,0,0,40,515,4,25,0,0,21.6614285714286,0,0,0,-1.14285714285714,0,0,5.71428571428571,73.5714285714286,0.571428571428571,3.57142857142857
Chris Carson,Sea,RB,7,148.83,0.99,26,17,0,0,0,569,2,36,22,149,2,6,0,3,21.2614285714286,0,0,0,81.2857142857143,0.285714285714286,5.14285714285714,3.14285714285714,21.2857142857143,0.285714285714286,0.857142857142857
Cooper Kupp,LAR,WR,7,146.53,0.99,18,18,0,0,0,4,0,0,51,572,4,25,0,0,20.9328571428571,0,0,0,0.571428571428571,0,0,7.28571428571429,81.7142857142857,0.571428571428571,3.57142857142857
David Johnson,Ari,RB,7,146.00,1,23,19,0,0,0,300,2,19,30,315,3,14,0,0,20.8571428571429,0,0,0,42.8571428571429,0.285714285714286,2.71428571428571,4.28571428571429,45,0.428571428571429,2
Amari Cooper,Dal,WR,7,144.40,1,22,21,0,0,0,0,0,0,38,621,5,25,0,0,20.6285714285714,0,0,0,0,0,0,5.42857142857143,88.7142857142857,0.714285714285714,3.57142857142857
Austin Hooper,Atl,TE,7,141.07,0.98,45,23,0,0,0,0,0,0,46,526,4,26,1,0,20.1528571428571,0,0,0,0,0,0,6.57142857142857,75.1428571428571,0.571428571428571,3.71428571428571
Julio Jones,Atl,WR,7,139.43,1,21,25,0,0,0,1,0,0,40,560,4,30,0,0,19.9185714285714,0,0,0,0.142857142857143,0,0,5.71428571428571,80,0.571428571428571,4.28571428571429
DeAndre Hopkins,Hou,WR,7,138.87,1,20,26,0,0,1,0,0,0,49,508,3,32,1,0,19.8385714285714,0,0,0.142857142857143,0,0,0,7,72.5714285714286,0.428571428571429,4.57142857142857
Nick Chubb,Cle,RB,6,137.23,1,10,27,0,0,0,607,6,20,20,128,0,6,0,1,22.8716666666667,0,0,0,101.166666666667,1,3.33333333333333,3.33333333333333,21.3333333333333,0,1
DJ Chark Jr.,Jax,WR,7,136.73,0.91,51,28,0,0,0,20,0,1,33,581,5,22,0,0,19.5328571428571,0,0,0,2.85714285714286,0,0.142857142857143,4.71428571428571,83,0.714285714285714,3.14285714285714
