Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg
Lamar Jackson,Bal,QB,7,199.60,0.99,2,3,1650,11,5,576,3,30,0,0,0,0,0,0,28.5142857142857,235.714285714286,1.57142857142857,0.714285714285714,82.2857142857143,0.428571428571429,4.28571428571429,0,0,0,0
Russell Wilson,Sea,QB,7,174.60,0.99,7,6,1945,15,1,178,3,11,0,0,0,0,0,1,24.9428571428571,277.857142857143,2.14285714285714,0.142857142857143,25.4285714285714,0.428571428571429,1.57142857142857,0,0,0,0
Deshaun Watson,Hou,QB,7,170.68,1,6,9,1952,13,5,196,5,13,0,0,0,0,1,2,24.3828571428571,278.857142857143,1.85714285714286,0.714285714285714,28,0.714285714285714,1.85714285714286,0,0,0,0
Dak Prescott,Dal,QB,7,159.22,0.96,12,12,2123,12,7,163,3,12,0,0,0,0,0,0,22.7457142857143,303.285714285714,1.71428571428571,1,23.2857142857143,0.428571428571429,1.71428571428571,0,0,0,0
Patrick Mahomes,KC,QB,7,156.40,1,30,14,2180,15,1,82,0,7,0,0,0,0,0,2,22.3428571428571,311.428571428571,2.14285714285714,0.142857142857143,11.7142857142857,0,1,0,0,0,0
Kyler Murray,Ari,QB,7,145.32,0.94,29,20,1768,7,4,266,2,16,0,0,0,0,2,0,20.76,252.571428571429,1,0.571428571428571,38,0.285714285714286,2.28571428571429,0,0,0,0
Matt Ryan,Atl,QB,7,142.20,0.95,25,22,2170,15,8,64,1,3,0,0,0,0,1,2,20.3142857142857,310,2.14285714285714,1.14285714285714,9.14285714285714,0.142857142857143,0.428571428571429,0,0,0,0
Aaron Rodgers,GB,QB,7,140.56,0.99,24,24,2019,13,2,68,1,5,0,0,0,0,0,2,20.08,288.428571428571,1.85714285714286,0.285714285714286,9.71428571428571,0.142857142857143,0.714285714285714,0,0,0,0
Carson Wentz,Phi,QB,7,131.36,0.95,27,31,1649,13,4,94,1,10,0,0,0,0,1,2,18.7657142857143,235.571428571429,1.85714285714286,0.571428571428571,13.4285714285714,0.142857142857143,1.42857142857143,0,0,0,0
Tom Brady,NE,QB,7,129.98,0.98,33,33,1992,11,4,3,3,4,0,0,0,0,0,1,18.5685714285714,284.571428571429,1.57142857142857,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0,0,0,0
Matthew Stafford,Det,QB,6,123.34,0.8,36,38,1751,13,3,63,0,5,0,0,0,0,0,2,20.5566666666667,291.833333333333,2.16666666666667,0.5,10.5,0,0.833333333333333,0,0,0,0
Kirk Cousins,Min,QB,7,123.14,0.85,46,40,1711,13,3,37,1,5,0,0,0,0,0,2,17.5914285714286,244.428571428571,1.85714285714286,0.428571428571429,5.28571428571429,0.142857142857143,0.714285714285714,0,0,0,0
