l_name,l_pos,l_team,l_wk1,l_wk2,l_wk3,l_wk4,l_wk5,l_wk6,l_wk7,l_wk8,l_wk9,l_wk10,l_wk11,l_wk12,l_wk13,l_wk14,l_wk15,l_wk16,l_wk17
Tom Brady,QB,NE,Pit,@Mia,NYJ,@Buf,@Was,NYG,@NYJ,Cle,@Bal,Bye,@Phi,Dal,@Hou,KC,@Cin,Buf,Mia
Phillip Lindsay,RB,Den,@Oak,Chi,@GB,Jax,@LAC,Ten,KC,@Ind,Cle,Bye,@Min,@Buf,LAC,@Hou,@KC,Det,Oak
Auden Tate,WR,Cin,@Sea,SF,@Buf,@Pit,Ari,@Bal,Jax,@LAR,Bye,Bal,@Oak,Pit,NYJ,@Cle,NE,@Mia,Cle
Marquez Valdes-Scantling,WR,GB,@Chi,Min,Den,Phi,@Dal,Det,Oak,@KC,@LAC,Car,Bye,@SF,@NYG,Was,Chi,@Min,@Det
Matt Breida,RB,SF,@TB,@Cin,Pit,Bye,Cle,@LAR,@Was,Car,@Ari,Sea,Ari,GB,@Bal,@NO,Atl,LAR,@Sea
Austin Ekeler,RB,LAC,Ind,@Det,Hou,@Mia,Den,Pit,@Ten,@Chi,GB,@Oak,KC,Bye,@Den,@Jax,Min,Oak,@KC
Chris Carson,RB,Sea,Cin,@Pit,NO,@Ari,LAR,@Cle,Bal,@Atl,TB,@SF,Bye,@Phi,Min,@LAR,@Car,Ari,SF
Zach Pascal,WR,Ind,@LAC,@Ten,Atl,Oak,@KC,Bye,Hou,Den,@Pit,Mia,Jax,@Hou,Ten,@TB,@NO,Car,@Jax
Jaylen Samuels,RB,Pit,@NE,Sea,@SF,Cin,Bal,@LAC,Bye,Mia,Ind,LAR,@Cle,@Cin,Cle,@Ari,Buf,@NYJ,@Bal
DJ Chark Jr.,WR,Jax,KC,@Hou,Ten,@Den,@Car,NO,@Cin,NYJ,Hou,Bye,@Ind,@Ten,TB,LAC,@Oak,@Atl,Ind
Royce Freeman,RB,Den,@Oak,Chi,@GB,Jax,@LAC,Ten,KC,@Ind,Cle,Bye,@Min,@Buf,LAC,@Hou,@KC,Det,Oak
Mason Rudolph,QB,Pit,@NE,Sea,@SF,Cin,Bal,@LAC,Bye,Mia,Ind,LAR,@Cle,@Cin,Cle,@Ari,Buf,@NYJ,@Bal
Michael Gallup,WR,Dal,NYG,@Was,Mia,@NO,GB,@NYJ,Phi,Bye,@NYG,Min,@Det,@NE,Buf,@Chi,LAR,@Phi,Was
Mark Andrews,TE,Bal,@Mia,Ari,@KC,Cle,@Pit,Cin,@Sea,Bye,NE,@Cin,Hou,@LAR,SF,@Buf,NYJ,@Cle,Pit
Keke Coutee,WR,Hou,@NO,Jax,@LAC,Car,Atl,@KC,@Ind,Oak,@Jax,Bye,@Bal,Ind,NE,Den,@Ten,@TB,Ten
Nyheim Hines,RB,Ind,@LAC,@Ten,Atl,Oak,@KC,Bye,Hou,Den,@Pit,Mia,Jax,@Hou,Ten,@TB,@NO,Car,@Jax
Chris Herndon,TE,NYJ,Buf,Cle,@NE,Bye,@Phi,Dal,NE,@Jax,@Mia,NYG,@Was,Oak,@Cin,Mia,@Bal,Pit,@Buf
Mark Walton,RB,Mia,Bal,NE,@Dal,LAC,Bye,Was,@Buf,@Pit,NYJ,@Ind,Buf,@Cle,Phi,@NYJ,@NYG,Cin,@NE
Dallas Goedert,TE,Phi,Was,@Atl,Det,@GB,NYJ,@Min,@Dal,@Buf,Chi,Bye,NE,Sea,@Mia,NYG,@Was,Dal,@NYG
Christian Kirk,WR,Ari,Det,@Bal,Car,Sea,@Cin,Atl,@NYG,@NO,SF,@TB,@SF,Bye,LAR,Pit,Cle,@Sea,@LAR
Baker Mayfield,QB,Cle,Ten,@NYJ,LAR,@Bal,@SF,Sea,Bye,@NE,@Den,Buf,Pit,Mia,@Pit,Cin,@Ari,Bal,@Cin
Sony Michel,RB,NE,Pit,@Mia,NYJ,@Buf,@Was,NYG,@NYJ,Cle,@Bal,Bye,@Phi,Dal,@Hou,KC,@Cin,Buf,Mia
Mike Gesicki,TE,Mia,Bal,NE,@Dal,LAC,Bye,Was,@Buf,@Pit,NYJ,@Ind,Buf,@Cle,Phi,@NYJ,@NYG,Cin,@NE
Courtland Sutton,WR,Den,@Oak,Chi,@GB,Jax,@LAC,Ten,KC,@Ind,Cle,Bye,@Min,@Buf,LAC,@Hou,@KC,Det,Oak
Ronald Jones II,RB,TB,SF,@Car,NYG,@LAR,@NO,Car,Bye,@Ten,@Sea,Ari,NO,@Atl,@Jax,Ind,@Det,Hou,Atl
Nick Chubb,RB,Cle,Ten,@NYJ,LAR,@Bal,@SF,Sea,Bye,@NE,@Den,Buf,Pit,Mia,@Pit,Cin,@Ari,Bal,@Cin
Lamar Jackson,QB,Bal,@Mia,Ari,@KC,Cle,@Pit,Cin,@Sea,Bye,NE,@Cin,Hou,@LAR,SF,@Buf,NYJ,@Cle,Pit
Saquon Barkley,RB,NYG,@Dal,Buf,@TB,Was,Min,@NE,Ari,@Det,Dal,@NYJ,Bye,@Chi,GB,@Phi,Mia,@Was,Phi
Calvin Ridley,WR,Atl,@Min,Phi,@Ind,Ten,@Hou,@Ari,LAR,Sea,Bye,@NO,@Car,TB,NO,Car,@SF,Jax,@TB
DJ Moore,WR,Car,LAR,TB,@Ari,@Hou,Jax,@TB,Bye,@SF,Ten,@GB,Atl,@NO,Was,@Atl,Sea,@Ind,NO
Josh Allen,QB,Buf,@NYJ,@NYG,Cin,NE,@Ten,Bye,Mia,Phi,Was,@Cle,@Mia,Den,@Dal,Bal,@Pit,@NE,NYJ
Sam Darnold,QB,NYJ,Buf,Cle,@NE,Bye,@Phi,Dal,NE,@Jax,@Mia,NYG,@Was,Oak,@Cin,Mia,@Bal,Pit,@Buf
Alexander Mattison,RB,Min,Atl,@GB,Oak,@Chi,@NYG,Phi,@Det,Was,@KC,@Dal,Den,Bye,@Sea,Det,@LAC,GB,Chi
Ryan Finley,QB,Cin,@Sea,SF,@Buf,@Pit,Ari,@Bal,Jax,@LAR,Bye,Bal,@Oak,Pit,NYJ,@Cle,NE,@Mia,Cle
Darius Slayton,WR,NYG,@Dal,Buf,@TB,Was,Min,@NE,Ari,@Det,Dal,@NYJ,Bye,@Chi,GB,@Phi,Mia,@Was,Phi
Gardner Minshew II,QB,Jax,KC,@Hou,Ten,@Den,@Car,NO,@Cin,NYJ,Hou,Bye,@Ind,@Ten,TB,LAC,@Oak,@Atl,Ind
Terry McLaurin,WR,Was,@Phi,Dal,Chi,@NYG,NE,@Mia,SF,@Min,@Buf,Bye,NYJ,Det,@Car,@GB,Phi,NYG,@Dal
Devin Singletary,RB,Buf,@NYJ,@NYG,Cin,NE,@Ten,Bye,Mia,Phi,Was,@Cle,@Mia,Den,@Dal,Bal,@Pit,@NE,NYJ
Marquise Brown,WR,Bal,@Mia,Ari,@KC,Cle,@Pit,Cin,@Sea,Bye,NE,@Cin,Hou,@LAR,SF,@Buf,NYJ,@Cle,Pit
Kyler Murray,QB,Ari,Det,@Bal,Car,Sea,@Cin,Atl,@NYG,@NO,SF,@TB,@SF,Bye,LAR,Pit,Cle,@Sea,@LAR
